"","Ref_index","Region","Decade","Age.min","Age.max","Mean.Age","Cases","Deaths","CFR"
"1","31","SEAR",1960,0,4,2.5,198,29,14.6464646464646
"2","31","SEAR",1960,5,9,7.5,103,15,14.5631067961165
"3","31","SEAR",1960,10,80,45.5,40,2,5
"4","48","AMR",1960,1,1,1.5,1,1,100
"5","48","AMR",1960,2,2,2.5,1,0,0
"6","48","AMR",1960,3,3,3.5,2,0,0
"7","48","AMR",1960,4,4,4.5,2,0,0
"8","48","AMR",1960,5,5,5.5,1,0,0
"9","48","AMR",1960,6,6,6.5,2,1,50
"10","48","AMR",1960,7,7,7.5,3,2,66.6666666666667
"11","48","AMR",1960,8,8,8.5,2,0,0
"12","48","AMR",1960,10,10,10.5,2,0,0
"13","48","AMR",1960,12,12,12.5,1,0,0
"14","48","AMR",1960,19,19,19.5,1,0,0
"15","48","AMR",1960,40,50,45.5,1,1,100
"16","121","SEAR",1960,0,0,0.5,36,17,47.2222222222222
"17","121","SEAR",1960,1,2,2,39,12,30.7692307692308
"18","121","SEAR",1960,3,5,4.5,32,5,15.625
"19","121","SEAR",1960,6,10,8.5,12,3,25
"20","121","SEAR",1960,11,15,13.5,1,0,0
"52","345","NIS",1990,1,4,3,10,0,0
"53","345","NIS",1990,5,14,10,33,6,18.1818181818182
"54","345","NIS",1990,15,19,17.5,6,0,0
"55","345","NIS",1990,20,29,25,5,1,20
"56","345","NIS",1990,30,39,35,15,0,0
"57","345","NIS",1990,40,49,45,9,3,33.3333333333333
"58","345","NIS",1990,50,59,55,3,1,33.3333333333333
"59","345","NIS",1990,60,60,60.5,3,1,33.3333333333333
"60","14","SEAR",2000,11,11,11.5,1,0,0
"61","14","SEAR",2000,13,13,13.5,2,1,50
"62","14","SEAR",2000,15,15,15.5,1,0,0
"63","14","SEAR",2000,17,17,17.5,1,1,100
"64","14","SEAR",2000,18,18,18.5,1,0,0
"65","14","SEAR",2000,20,20,20.5,2,0,0
"66","14","SEAR",2000,30,30,30.5,1,0,0
"67","14","SEAR",2000,65,65,65.5,1,0,0
"68","347","EUR",1940,0,0,0.5,12,7,58.3333333333333
"69","347","EUR",1940,2,2,2.5,30,8,26.6666666666667
"70","347","EUR",1940,3,3,3.5,14,2,14.2857142857143
"71","347","EUR",1940,4,4,4.5,4,0,0
"72","347","EUR",1940,5,5,5.5,1,0,0
"73","347","EUR",1940,6,6,6.5,1,1,100
"74","347","EUR",1940,7,7,7.5,3,0,0
"76","347","EUR",1940,9,9,9.5,1,0,0
"92","339","NIS",1990,0,0,0.5,7,2,28.5714285714286
"93","339","NIS",1990,1,4,3,166,36,21.6867469879518
"94","339","NIS",1990,5,14,10,967,175,18.0972078593588
"95","339","NIS",1990,15,19,17.5,313,30,9.58466453674121
"96","339","NIS",1990,20,29,25,377,28,7.42705570291777
"97","339","NIS",1990,30,39,35,263,11,4.18250950570342
"98","339","NIS",1990,40,49,45,61,4,6.55737704918033
"99","339","NIS",1990,50,59,55,15,0,0
"100","339","NIS",1990,60,60,60.5,1,0,0
"105","338","NIS",1990,0,4,2.5,42,4,9.52380952380952
"106","338","NIS",1990,5,14,10,210,4,1.9047619047619
"107","338","NIS",1990,15,19,17.5,118,0,0
"108","338","NIS",1990,20,29,25,161,1,0.62111801242236
"109","338","NIS",1990,30,39,35,202,5,2.47524752475248
"110","338","NIS",1990,40,49,45,179,11,6.14525139664804
"111","338","NIS",1990,50,59,55,45,1,2.22222222222222
"112","338","NIS",1990,60,80,70.5,8,0,0
"113","15","SEAR",1990,0,4,2.5,26,0,0
"114","15","SEAR",1990,5,9,7.5,52,0,0
"115","15","SEAR",1990,10,14,12.5,19,0,0
"116","15","SEAR",1990,15,80,48,3,0,0
"121","185","AMR",1960,0,4,2.5,19,3,15.7894736842105
"122","185","AMR",1960,5,9,7.5,10,0,0
"123","185","AMR",1960,10,80,45.5,7,1,14.2857142857143
"130","675","EUR",1900,0,14,7.5,135,16,11.8518518518519
"131","675","EUR",1900,15,80,48,68,2,2.94117647058824
"132","675","EUR",1900,0,14,7.5,73,20,27.3972602739726
"133","675","EUR",1900,15,80,48,9,1,11.1111111111111
"145","720","EUR",1940,0,0,0.5,9,1,11.1111111111111
"146","720","EUR",1940,1,4,3,53,6,11.3207547169811
"147","720","EUR",1940,5,14,10,62,7,11.2903225806452
"148","720","EUR",1940,15,29,22.5,116,7,6.03448275862069
"149","720","EUR",1940,30,80,55.5,113,12,10.6194690265487
"150","75","EUR",1950,0,4,2.5,21,0,0
"151","75","EUR",1950,5,14,10,71,5,7.04225352112676
"152","75","EUR",1950,15,80,48,16,1,6.25
"153","260","SEAR",1990,0,0,0.5,20,10,50
"154","260","SEAR",1990,1,4,3,73,22,30.1369863013699
"155","260","SEAR",1990,5,9,7.5,38,13,34.2105263157895
"156","260","SEAR",1990,10,18,14.5,12,0,0
"192","249","AFR",1970,0,0,0.5,1,0,0
"193","249","AFR",1970,1,1,1.5,1,0,0
"194","249","AFR",1970,2,2,2.5,6,0,0
"195","249","AFR",1970,3,3,3.5,1,1,100
"202","62","EUR",1980,9,9,9.5,1,0,0
"203","62","EUR",1980,26,26,26.5,1,0,0
"204","62","EUR",1980,26,26,26.5,1,1,100
"205","62","EUR",1980,28,28,28.5,2,1,50
"206","62","EUR",1980,29,29,29.5,1,0,0
"207","62","EUR",1980,34,34,34.5,2,0,0
"208","62","EUR",1980,37,37,37.5,1,0,0
"209","62","EUR",1980,42,42,42.5,1,0,0
"210","62","EUR",1980,49,49,49.5,1,0,0
"211","62","EUR",1980,62,62,62.5,1,1,100
"212","62","EUR",1980,80,80,80.5,1,0,0
"220","332","SEAR",2000,1,3,2.5,36,0,0
"221","332","SEAR",2000,4,6,5.5,25,0,0
"222","332","SEAR",2000,7,9,8.5,17,0,0
"223","332","SEAR",2000,10,14,12.5,9,0,0
"224","332","SEAR",2000,15,80,48,1,0,0
"246","690","EUR",1900,3,3,3.5,5,0,0
"247","690","EUR",1900,4,4,4.5,8,0,0
"248","690","EUR",1900,5,5,5.5,8,0,0
"249","690","EUR",1900,6,6,6.5,9,0,0
"250","690","EUR",1900,7,9,8.5,13,2,15.3846153846154
"251","690","EUR",1900,10,12,11.5,12,0,0
"252","690","EUR",1900,13,15,14.5,19,0,0
"253","2","SEAR",1960,0,1,1,133,48,36.0902255639098
"254","2","SEAR",1960,2,3,3,150,37,24.6666666666667
"255","2","SEAR",1960,4,5,5,68,14,20.5882352941176
"256","2","SEAR",1960,6,7,7,29,2,6.89655172413793
"257","2","SEAR",1960,8,10,10,5,1,20
"258","2","SEAR",1960,10,12,11.5,11,1,9.09090909090909
"395","233","EMR",1977,2,2,2.5,2,2,100
"396","233","EMR",1977,3,3,3.5,5,1,20
"397","233","EMR",1977,4,4,4.5,5,1,20
"398","233","EMR",1977,5,5,5.5,2,1,50
"399","233","EMR",1977,6,6,6.5,4,2,50
"400","233","EMR",1977,7,7,7.5,2,0,0
"401","233","EMR",1977,8,8,8.5,2,0,0
"402","233","EMR",1977,10,10,10.5,1,1,100
"403","233","EMR",1977,11,11,11.5,1,0,0
"404","233","EMR",1977,12,12,12.5,1,0,0
"405","233","EMR",1977,13,13,13.5,1,0,0
"406","233","EMR",1977,25,25,25.5,1,0,0
"433","346","SEAR",1990,0,1,1,50,4,8
"434","346","SEAR",1990,2,4,3.5,151,12,7.94701986754967
"435","346","SEAR",1990,5,14,10,580,51,8.79310344827586
"436","346","SEAR",1990,15,19,17.5,315,13,4.12698412698413
"437","346","SEAR",1990,20,29,25,363,9,2.47933884297521
"438","346","SEAR",1990,30,39,35,374,17,4.54545454545455
"439","346","SEAR",1990,40,49,45,248,18,7.25806451612903
"440","346","SEAR",1990,50,59,55,135,12,8.88888888888889
"441","346","SEAR",1990,60,69,65,17,0,0
"446","275","AFR",2010,0,4,2.5,21,8,38.0952380952381
"447","275","AFR",2010,5,9,7.5,42,10,23.8095238095238
"448","275","AFR",2010,10,14,12.5,16,2,12.5
"449","275","AFR",2010,15,80,48,19,0,0
"450","275","AFR",2010,0,4,2.5,21,8,38.0952380952381
"451","275","AFR",2010,5,9,7.5,42,10,23.8095238095238
"452","275","AFR",2010,10,14,12.5,16,2,12.5
"453","275","AFR",2010,15,80,48,19,0,0
"454","60","AFR",2010,4,4,4.5,1,0,0
"455","60","AFR",2010,5,5,5.5,1,0,0
"456","60","AFR",2010,8,8,8.5,3,1,33.3333333333333
"457","60","AFR",2010,9,9,9.5,2,0,0
"458","60","AFR",2010,11,11,11.5,2,0,0
"459","60","AFR",2010,13,13,13.5,2,1,50
"460","60","AFR",2010,17,17,17.5,1,0,0
"461","60","AFR",2010,21,21,21.5,1,1,100
"462","60","AFR",2010,35,35,35.5,1,0,0
"463","60","AFR",2010,41,41,41.5,1,1,100
"475","270","SEAR",2010,0,0,0.5,1,1,100
"476","270","SEAR",2010,1,4,3,6,2,33.3333333333333
"477","270","SEAR",2010,5,9,7.5,16,6,37.5
"478","270","SEAR",2010,10,14,12.5,20,2,10
"479","270","SEAR",2010,15,19,17.5,7,2,28.5714285714286
"480","270","SEAR",2010,20,24,22.5,5,0,0
"481","270","SEAR",2010,25,80,53,7,0,0
"482","494","NIS",2000,0,4,2.5,84,11,13.0952380952381
"483","494","NIS",2000,5,19,12.5,396,3,0.757575757575758
"484","494","NIS",2000,20,29,25,195,1,0.512820512820513
"485","494","NIS",2000,30,39,35,192,9,4.6875
"486","494","NIS",2000,40,49,45,286,37,12.9370629370629
"487","494","NIS",2000,50,59,55,218,29,13.302752293578
"488","494","NIS",2000,60,80,70.5,144,21,14.5833333333333
"489","235","NIS",1990,2,3,3,40,7,17.5
"490","235","NIS",1990,4,9,7,77,2,2.5974025974026
"491","235","NIS",1990,10,16,13.5,112,0,0
"492","235","NIS",1990,17,80,49,530,53,10
"493","11","AFR",1980,0,4,2.5,4,2,50
"494","11","AFR",1980,5,9,7.5,6,2,33.3333333333333
"495","11","AFR",1980,10,14,12.5,26,6,23.0769230769231
"496","11","AFR",1980,15,19,17.5,19,4,21.0526315789474
"497","11","AFR",1980,20,24,22.5,7,2,28.5714285714286
"498","11","AFR",1980,25,29,27.5,2,0,0
"499","11","AFR",1980,30,34,32.5,5,0,0
"500","11","AFR",1980,35,80,58,4,0,0
"510","N/A","AMR",1940,0,0,0.5,19,3,15.7894736842105
"511","N/A","AMR",1940,1,4,3,410,46,11.219512195122
"512","N/A","AMR",1940,5,9,7.5,398,42,10.5527638190955
"513","N/A","AMR",1940,10,19,15,207,7,3.38164251207729
"514","N/A","AMR",1940,20,29,25,173,2,1.15606936416185
"515","N/A","AMR",1940,30,39,35,104,12,11.5384615384615
"516","N/A","AMR",1940,40,49,45,68,15,22.0588235294118
"517","N/A","AMR",1940,50,80,65.5,54,10,18.5185185185185
"527","271","AMR",2010,0,6,4,13,2,15.3846153846154
"528","271","AMR",2010,7,19,14,11,1,9.09090909090909
"529","271","AMR",2010,20,80,51,1,0,0
"563","71","AMR",1940,1,5,3.5,2,0,0
"564","71","AMR",1940,6,12,9.5,10,3,30
"565","71","AMR",1940,13,14,14,5,1,20
"567","71","AMR",1940,26,35,31,3,0,0
"568","71","AMR",1940,36,80,58.5,2,1,50
"666","307","AMR",1730,0,9,5,404,160,39.6039603960396
"667","307","AMR",1730,10,20,15.5,310,40,12.9032258064516
"668","307","AMR",1730,21,80,51,546,10,1.83150183150183
"669","70","AMR",1960,3,3,3.5,2,0,0
"670","70","AMR",1960,5,5,5.5,1,1,100
"671","70","AMR",1960,6,6,6.5,1,0,0
"672","70","AMR",1960,7,7,7.5,1,0,0
"673","70","AMR",1960,8,8,8.5,2,0,0
"674","70","AMR",1960,10,10,10.5,1,0,0
"675","70","AMR",1960,11,11,11.5,1,0,0
"676","70","AMR",1960,13,13,13.5,2,0,0
"677","70","AMR",1960,14,14,14.5,1,0,0
"678","70","AMR",1960,32,32,32.5,1,0,0
"706","12","AMR",1960,0,6,3.5,24,1,4.16666666666667
"707","12","AMR",1960,7,14,11,17,0,0
"708","12","AMR",1960,15,29,22.5,10,0,0
"709","12","AMR",1960,30,80,55.5,5,0,0
"714","203","NIS",1990,0,4,2.5,209,30,14.3540669856459
"715","203","NIS",1990,5,9,7.5,233,31,13.3047210300429
"716","203","NIS",1990,10,14,12.5,216,21,9.72222222222222
"717","203","NIS",1990,15,19,17.5,170,14,8.23529411764706
"718","203","NIS",1990,20,29,25,247,9,3.64372469635628
"719","203","NIS",1990,30,39,35,165,6,3.63636363636364
"720","203","NIS",1990,40,49,45,101,11,10.8910891089109
"721","203","NIS",1990,50,59,55,53,7,13.2075471698113
"722","203","NIS",1990,60,69,65,10,3,30
"723","203","NIS",1990,70,80,75.5,1,1,100
"724","343","NIS",1990,0,4,2.5,115,14,12.1739130434783
"725","343","NIS",1990,5,9,7.5,144,19,13.1944444444444
"726","343","NIS",1990,10,14,12.5,130,13,10
"727","343","NIS",1990,15,20,18,85,5,5.88235294117647
"728","343","NIS",1990,21,29,25.5,94,4,4.25531914893617
"729","343","NIS",1990,30,39,35,86,5,5.81395348837209
"730","343","NIS",1990,40,49,45,49,7,14.2857142857143
"731","343","NIS",1990,50,59,55,24,1,4.16666666666667
"732","253","NIS",1990,0,0,1,431,33,7.65661252900232
"733","253","NIS",1990,1,2,2,2280,156,6.8421052631579
"734","253","NIS",1990,3,6,5,10673,342,3.20434741872013
"735","253","NIS",1990,7,14,11,18601,228,1.22574055158325
"736","253","NIS",1990,15,17,17,7057,41,0.580983420717019
"737","253","NIS",1990,18,19,19,3935,25,0.635324015247776
"738","253","NIS",1990,20,29,25,13366,72,0.538680233428101
"739","253","NIS",1990,30,39,35,16658,295,1.77092087885701
"740","253","NIS",1990,40,49,45,18136,1172,6.4622849580944
"741","253","NIS",1990,50,59,55,6577,460,6.99407024479246
"742","253","NIS",1990,60,80,71,2242,143,6.37823371989295
