"Ref_index","Study","Location","Year.Mid","Age.min","Age.max","n.Suscept","n.Basic","n.Full","n.NotFull","N.age","N","prct.Full1","prct.Suscept","prct.Basic","prct.Full"
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,10,20,208,14,5,222,227,NA,NA,0.02204081633,0.0606122449,0.9173469388
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,20,30,166,50,8,216,224,NA,NA,0.03653061224,0.22,0.7334693878
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,30,40,106,113,8,219,227,NA,NA,0.034,0.4973333333,0.4686666667
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,40,50,44,128,53,172,225,NA,NA,0.235,0.565,0.195
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,50,60,83,61,84,144,228,NA,NA,0.37,0.27,0.3663333333
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,60,70,68,121,39,189,228,NA,NA,0.1713333333,0.5326666667,0.3006666667
NA,"Jenum et al 1995","Arkhangelsk, Russia",NA,70,80,177,51,0,228,228,NA,NA,0,0.2233333333,0.78
NA,"Garcia-Corbeira 1999","Spain",NA,5,12,2015,726,1203,2741,3944,NA,NA,0.305,0.184,0.511
NA,"Garcia-Corbeira 1999","Spain",NA,13,19,1029,864,2051,1893,3944,NA,NA,0.52,0.219,0.261
NA,"Garcia-Corbeira 1999","Spain",NA,20,29,611,816,2516,1427,3943,NA,NA,0.638,0.207,0.155
NA,"Garcia-Corbeira 1999","Spain",NA,30,39,560,773,2611,1333,3944,NA,NA,0.662,0.196,0.142
NA,"Garcia-Corbeira 1999","Spain",NA,40,49,801,824,2319,1625,3944,NA,NA,0.588,0.209,0.203
NA,"Garcia-Corbeira 1999","Spain",NA,50,59,1160,864,1704,2024,3728,NA,NA,0.432,0.219,0.294
NA,"Alp Cavus et al. 2007","Izmir, Turkey",NA,20,29,NA,NA,159,180,339,NA,NA,0.469,NA,0.531
NA,"Alp Cavus et al. 2007","Izmir, Turkey",NA,30,39,NA,NA,226,113,339,NA,NA,0.667,NA,0.333
NA,"Alp Cavus et al. 2007","Izmir, Turkey",NA,40,49,NA,NA,235,104,339,NA,NA,0.694,NA,0.306
NA,"Alp Cavus et al. 2007","Izmir, Turkey",NA,50,59,NA,NA,174,165,339,NA,NA,0.512,NA,0.488
NA,"Alp Cavus et al. 2007","Izmir, Turkey",NA,60,80,NA,NA,138,201,339,NA,NA,0.407,NA,0.593
NA,"Yuan et al. 1997","Toronto",NA,20,29,278,315,121,593,714,NA,NA,0.17,0.444,0.392
NA,"Yuan et al. 1997","Toronto",NA,30,39,329,287,94,616,710,NA,NA,0.133,0.404,0.463
NA,"Yuan et al. 1997","Toronto",NA,40,49,315,251,144,566,710,NA,NA,0.203,0.354,0.443
NA,"Yuan et al. 1997","Toronto",NA,50,59,202,313,195,515,710,NA,NA,0.275,0.441,0.284
NA,"Yuan et al. 1997","Toronto",NA,60,80,99,315,297,414,711,NA,NA,0.418,0.443,0.139
NA,"Walory et al. 2000","Poland",NA,0.16,0.16,193,2656,1980,2849,4829,NA,NA,0.41,0.55,0.04
NA,"Walory et al. 2000","Poland",NA,0.16,18,1111,3187,531,4298,4829,NA,NA,0.11,0.66,0.23
NA,"Walory et al. 2000","Poland",NA,19,80,241,3042,1545,3283,4828,NA,NA,0.32,0.63,0.05
214,"Maple et al. 1995","North London, UK",NA,20,29,63,86,101,149,250,1000,NA,0.25,0.344,0.404
214,"Maple et al. 1995","North London, UK",NA,30,39,93,85,72,178,250,1000,NA,0.372,0.34,0.288
214,"Maple et al. 1995","North London, UK",NA,40,49,88,77,85,165,250,1000,NA,0.352,0.308,0.34
214,"Maple et al. 1995","North London, UK",NA,50,59,132,67,51,199,250,1000,NA,0.528,0.268,0.204
NA,"Chironna et al. 1993","Kosovo",NA,0,10,468,87,78,555,633,NA,NA,0.123,0.138,0.739
NA,"Chironna et al. 1993","Kosovo",NA,11,20,438,111,84,549,633,NA,NA,0.133,0.175,0.692
NA,"Chironna et al. 1993","Kosovo",NA,21,30,95,401,137,496,633,NA,NA,0.217,0.633,0.15
NA,"Chironna et al. 1993","Kosovo",NA,30,80,81,503,49,584,633,NA,NA,0.077,0.795,0.128
NA,"Chironna et al. 1993","Turkey",NA,0,10,116,37,49,153,202,NA,NA,0.242,0.182,0.576
NA,"Chironna et al. 1993","Turkey",NA,11,20,85,85,32,170,202,NA,NA,0.157,0.422,0.422
NA,"Chironna et al. 1993","Turkey",NA,21,30,58,93,51,151,202,NA,NA,0.25,0.462,0.288
NA,"Chironna et al. 1993","Turkey",NA,30,80,42,130,30,172,202,NA,NA,0.147,0.644,0.206
NA,"Chironna et al. 1993","Iraq",NA,0,10,120,94,47,214,261,NA,NA,0.18,0.361,0.459
NA,"Chironna et al. 1993","Iraq",NA,11,20,148,89,25,237,262,NA,NA,0.094,0.34,0.566
NA,"Chironna et al. 1993","Iraq",NA,21,30,121,92,48,213,261,NA,NA,0.182,0.354,0.465
NA,"Chironna et al. 1993","Iraq",NA,30,80,125,114,22,239,261,NA,NA,0.083,0.438,0.479
NA,"Marolvits et al. 2000","Vienna",NA,18,24,333,142,59,475,534,NA,NA,0.11,0.266,0.623
NA,"Marolvits et al. 2000","Vienna",NA,25,29,335,82,117,417,534,NA,NA,0.22,0.153,0.627
NA,"Marolvits et al. 2000","Vienna",NA,30,39,219,147,168,366,534,NA,NA,0.315,0.275,0.41
NA,"Marolvits et al. 2000","Vienna",NA,40,49,127,160,247,287,534,NA,NA,0.463,0.3,0.238
NA,"Marolvits et al. 2000","Vienna",NA,50,70,84,225,225,309,534,NA,NA,0.421,0.421,0.158
NA,"Mark et al. 1989","Sweeden",NA,5,5,103,239,7,342,349,NA,NA,0.014,0.495,0.214
NA,"Mark et al. 1989","Sweeden",NA,6,6,13,313,102,326,428,NA,NA,0.211,0.65,0.028
NA,"Mark et al. 1989","Sweeden",NA,10,10,8,196,326,204,530,NA,NA,0.676,0.406,0.017
NA,"Mark et al. 1989","Sweeden",NA,16,16,22,266,163,288,451,NA,NA,0.338,0.552,0.045
NA,"Melker 1999","Netherlands",NA,0,1,1579,569,83,2148,2231,NA,NA,0.037,0.255,0.707
NA,"Melker 1999","Netherlands",NA,1,1,1985,221,27,2206,2233,NA,NA,0.012,0.099,0.889
NA,"Melker 1999","Netherlands",NA,2,2,1413,779,42,2192,2234,NA,NA,0.019,0.349,0.633
NA,"Melker 1999","Netherlands",NA,3,3,1402,793,38,2195,2233,NA,NA,0.017,0.355,0.628
NA,"Melker 1999","Netherlands",NA,4,4,2025,194,13,2219,2232,NA,NA,0.6,0.087,0.907
NA,"Melker 1999","Netherlands",NA,5,5,2061,141,31,2202,2233,NA,NA,0.014,0.063,0.923
NA,"Melker 1999","Netherlands",NA,6,6,1766,447,20,2213,2233,NA,NA,0.9,0.2,0.791
NA,"Melker 1999","Netherlands",NA,7,7,1472,710,51,2182,2233,NA,NA,0.023,0.318,0.659
NA,"Melker 1999","Netherlands",NA,8,8,1693,527,16,2220,2236,NA,NA,0.7,0.236,0.758
NA,"Melker 1999","Netherlands",NA,9,9,1970,263,0,2233,2233,NA,NA,0,0.118,0.882
NA,"Melker 1999","Netherlands",NA,10,10,2068,150,16,2218,2234,NA,NA,0.7,0.067,0.926
NA,"Melker 1999","Netherlands",NA,11,11,2032,185,16,2217,2233,NA,NA,0.7,0.083,0.91
NA,"Melker 1999","Netherlands",NA,12,12,1840,380,13,2220,2233,NA,NA,0.6,0.17,0.824
NA,"Melker 1999","Netherlands",NA,13,13,1623,610,0,2233,2233,NA,NA,0,0.273,0.727
NA,"Melker 1999","Netherlands",NA,14,14,1628,596,9,2224,2233,NA,NA,0.4,0.267,0.729
NA,"Melker 1999","Netherlands",NA,0,1,5432,1992,294,7424,7718,NA,NA,0.03810695187,0.2582139037,0.7041229947
NA,"Melker 1999","Netherlands",NA,1,4,5820,1741,153,7561,7714,NA,NA,0.0198787024,0.2257122708,0.7544090268
NA,"Melker 1999","Netherlands",NA,5,9,6081,1549,89,7630,7719,NA,NA,0.01151824818,0.200729927,0.7882116788
NA,"Melker 1999","Netherlands",NA,10,14,6328,1356,34,7684,7718,NA,NA,0.4463414634,0.1757560976,0.8202682927
NA,"Melker 1999","Netherlands",NA,15,19,5557,2090,65,7647,7712,NA,NA,0.8387168142,0.2709026549,0.7202477876
NA,"Melker 1999","Netherlands",NA,20,24,5230,2231,254,7461,7715,NA,NA,0.03293491124,0.289147929,0.6779171598
NA,"Melker 1999","Netherlands",NA,25,29,5195,2198,321,7393,7714,NA,NA,0.04162234043,0.284962766,0.6734148936
NA,"Melker 1999","Netherlands",NA,30,34,4374,2666,671,7040,7711,NA,NA,0.08694444444,0.3455,0.5669907407
NA,"Melker 1999","Netherlands",NA,35,39,4337,2530,415,6867,7282,NA,NA,0.05380876494,0.3279282869,0.5620876494
NA,"Melker 1999","Netherlands",NA,40,44,5645,1581,489,7226,7715,NA,NA,0.06337316562,0.2049433962,0.7316834382
NA,"Melker 1999","Netherlands",NA,45,49,3773,2524,1413,6297,7710,NA,NA,0.1831897655,0.3272153518,0.4890383795
NA,"Melker 1999","Netherlands",NA,50,54,3173,2838,1704,6011,7715,NA,NA,0.2208292683,0.3678780488,0.4112926829
NA,"Melker 1999","Netherlands",NA,55,59,3142,3413,1199,6555,7754,NA,NA,0.1553652695,0.4423912176,0.407253493
NA,"Melker 1999","Netherlands",NA,60,64,2377,3777,1558,6154,7712,NA,NA,0.2018807947,0.4895165563,0.3080794702
NA,"Melker 1999","Netherlands",NA,65,69,2350,2816,2548,5166,7714,NA,NA,0.3303239741,0.3650302376,0.3046457883
NA,"Melker 1999","Netherlands",NA,70,74,1669,1987,4055,3656,7711,NA,NA,0.525649635,0.257513382,0.2163673966
NA,"Melker 1999","Netherlands",NA,75,79,1892,2038,3786,3930,7716,NA,NA,0.4907099698,0.2641148036,0.2451752266
413,"Kurugol 2011","Turkey",2008,0,2,NA,NA,49,4,53,599,NA,NA,NA,0.9245283019
413,"Kurugol 2011","Turkey",2008,3,4,NA,NA,46,6,52,599,NA,NA,NA,0.8846153846
413,"Kurugol 2011","Turkey",2008,5,6,NA,NA,45,10,55,599,NA,NA,NA,0.8181818182
413,"Kurugol 2011","Turkey",2008,7,9,NA,NA,55,4,59,599,NA,NA,NA,0.9322033898
413,"Kurugol 2011","Turkey",2008,10,14,NA,NA,51,14,65,599,NA,NA,NA,0.7846153846
413,"Kurugol 2011","Turkey",2008,14,19,NA,NA,44,6,50,599,NA,NA,NA,0.88
413,"Kurugol 2011","Turkey",2008,20,29,NA,NA,32,30,62,599,NA,NA,NA,0.5161290323
413,"Kurugol 2011","Turkey",2008,30,39,NA,NA,35,39,74,599,NA,NA,NA,0.472972973
413,"Kurugol 2011","Turkey",2008,40,59,NA,NA,40,33,73,599,NA,NA,NA,0.5479452055
413,"Kurugol 2011","Turkey",2008,60,70,NA,NA,37,19,56,599,NA,NA,NA,0.6607142857
424,"Maple 2000","England and Wales",1996,1,1,28,49,23,77,100,3300,NA,0.230125523,0.4937238494,0.2761506276
424,"Maple 2000","England and Wales",1996,2,2,16,58,26,74,100,3300,NA,0.2635983264,0.5794979079,0.1569037657
424,"Maple 2000","England and Wales",1996,3,3,16,63,21,79,100,3300,NA,0.2092050209,0.6338912134,0.1569037657
424,"Maple 2000","England and Wales",1996,4,4,14,29,57,43,100,3300,NA,0.5732217573,0.2866108787,0.140167364
424,"Maple 2000","England and Wales",1996,5,5,11,26,63,37,100,3300,NA,0.6338912134,0.2573221757,0.1087866109
424,"Maple 2000","England and Wales",1996,6,6,7,29,64,36,100,3300,NA,0.6359832636,0.2949790795,0.0690376569
424,"Maple 2000","England and Wales",1996,7,7,11,27,62,38,100,3300,NA,0.6213389121,0.269874477,0.1087866109
424,"Maple 2000","England and Wales",1996,8,8,8,40,52,48,100,3300,NA,0.5188284519,0.4016736402,0.07949790795
424,"Maple 2000","England and Wales",1996,9,9,10,44,45,55,100,3300,NA,0.4539748954,0.4414225941,0.1046025105
424,"Maple 2000","England and Wales",1996,10,10,9,43,48,52,100,3300,NA,0.4769874477,0.4288702929,0.09414225941
424,"Maple 2000","England and Wales",1996,11,11,16,50,34,66,100,3300,NA,0.3410041841,0.5020920502,0.1569037657
424,"Maple 2000","England and Wales",1996,12,12,11,63,26,74,100,3300,NA,0.2552301255,0.6317991632,0.1129707113
424,"Maple 2000","England and Wales",1996,13,13,16,64,19,81,100,3300,NA,0.1924686192,0.6443514644,0.1631799163
424,"Maple 2000","England and Wales",1996,14,14,12,47,41,59,100,3300,NA,0.4142259414,0.4707112971,0.1150627615
424,"Maple 2000","England and Wales",1996,15,15,6,58,35,65,100,3300,NA,0.3535564854,0.5815899582,0.06485355649
424,"Maple 2000","England and Wales",1996,16,16,9,54,38,62,100,3300,NA,0.3765690377,0.5355648536,0.08786610879
424,"Maple 2000","England and Wales",1996,17,17,13,64,23,77,100,3300,NA,0.230125523,0.6380753138,0.1317991632
424,"Maple 2000","England and Wales",1996,18,18,8,68,24,76,100,3300,NA,0.2384937238,0.679916318,0.08158995816
424,"Maple 2000","England and Wales",1996,19,19,8,64,28,72,100,3300,NA,0.2824267782,0.6380753138,0.07949790795
424,"Maple 2000","England and Wales",1996,20,24,26,133,40,160,200,3300,NA,0.2008368201,0.6673640167,0.1317991632
424,"Maple 2000","England and Wales",1996,25,29,61,113,26,174,200,3300,NA,0.1276150628,0.5669456067,0.3054393305
424,"Maple 2000","England and Wales",1996,30,34,86,102,12,188,200,3300,NA,0.06066945607,0.510460251,0.4288702929
424,"Maple 2000","England and Wales",1996,35,39,98,92,10,190,200,3300,NA,0.05020920502,0.4581589958,0.4916317992
424,"Maple 2000","England and Wales",1996,40,49,87,88,25,175,200,3300,NA,0.1255230126,0.4393305439,0.4351464435
424,"Maple 2000","England and Wales",1996,50,59,121,69,10,190,200,3300,NA,0.05020920502,0.3430962343,0.6066945607
424,"Maple 2000","England and Wales",1996,60,80,142,51,7,193,200,3300,NA,0.03347280335,0.2552301255,0.7112970711
425,"KOBLIN 1989","Baltimore",1985,0,16,2,NA,NA,NA,25,232,92,0.08,NA,0.92
425,"KOBLIN 1989","Baltimore",1985,16,19,6,NA,NA,NA,49,232,87.8,0.122448979591837,NA,0.878
425,"KOBLIN 1989","Baltimore",1985,20,22,12,NA,NA,NA,64,232,81.2,0.1875,NA,0.812
425,"KOBLIN 1989","Baltimore",1985,23,25,5,NA,NA,NA,36,232,86.1,0.138888888888889,NA,0.861
425,"KOBLIN 1989","Baltimore",1985,26,29,10,NA,NA,NA,34,232,70.6,0.294117647058824,NA,0.706
425,"KOBLIN 1989","Baltimore",1985,30,50,8,NA,NA,NA,24,232,66.7,0.333333333333333,NA,0.667
586,"Li 2015","Beijing, China",2012,0.25,0.99999,NA,NA,180,26,206,2147,NA,NA,NA,0.8738
586,"Li 2015","Beijing, China",2012,1,4,NA,NA,206,5,211,2147,NA,NA,NA,0.9763
586,"Li 2015","Beijing, China",2012,5,9,NA,NA,209,17,226,2147,NA,NA,NA,0.9263
586,"Li 2015","Beijing, China",2012,10,14,NA,NA,181,35,216,2147,NA,NA,NA,0.838
586,"Li 2015","Beijing, China",2012,15,19,NA,NA,162,58,220,2147,NA,NA,NA,0.7364
586,"Li 2015","Beijing, China",2012,20,24,NA,NA,131,91,222,2147,NA,NA,NA,0.5901
586,"Li 2015","Beijing, China",2012,25,29,NA,NA,107,97,204,2147,NA,NA,NA,0.5245
586,"Li 2015","Beijing, China",2012,30,34,NA,NA,97,125,222,2147,NA,NA,NA,0.4369
586,"Li 2015","Beijing, China",2012,35,39,NA,NA,77,129,206,2147,NA,NA,NA,0.3738
586,"Li 2015","Beijing, China",2012,40,74,NA,NA,73,141,214,2147,NA,NA,NA,0.3411
592,"Saxena 2009","Delhi, India",2008,15,25,53,22,27,75,102,255,NA,0.519607843137255,0.215686274509804,0.264705882352941
592,"Saxena 2009","Delhi, India",2008,26,35,51,25,29,76,105,255,NA,0.485714285714286,0.238095238095238,0.276190476190476
592,"Saxena 2009","Delhi, India",2008,36,50,29,10,9,39,48,255,NA,0.604166666666667,0.208333333333333,0.1875
602,"Dragomirescu 2014","Romania",2010,20,29,81,14,124,95,219,249,NA,0.36986301369863,0.0639269406392694,0.5662100456621
602,"Dragomirescu 2014","Romania",2010,30,39,131,26,73,157,230,249,NA,0.569565217391304,0.11304347826087,0.317391304347826
613,"Redwan 2005","Egypt",1994,0,10,75,45,52,120,172,709,NA,0.436046511627907,0.261627906976744,0.302325581395349
613,"Redwan 2005","Egypt",1994,11,20,9,32,26,41,67,709,NA,0.134328358208955,0.477611940298507,0.388059701492537
613,"Redwan 2005","Egypt",1994,21,30,16,62,57,78,135,709,NA,0.118518518518519,0.459259259259259,0.422222222222222
613,"Redwan 2005","Egypt",1994,31,40,18,58,48,76,124,709,NA,0.145161290322581,0.467741935483871,0.387096774193548
613,"Redwan 2005","Egypt",1994,41,50,8,50,34,58,92,709,NA,0.0869565217391304,0.543478260869565,0.369565217391304
613,"Redwan 2005","Egypt",1994,51,60,9,43,13,52,65,709,NA,0.138461538461538,0.661538461538462,0.2
613,"Redwan 2005","Egypt",1994,61,80,33,14,6,47,53,709,NA,0.622641509433962,0.264150943396226,0.113207547169811
551,"Bergamini 1999","Italy",1994,1,10,39,40,464,79,543,5187,85.5,0.0718232044198895,0.0736648250460405,0.855
551,"Bergamini 1999","Italy",1994,11,20,43,107,488,150,638,5187,76.5,0.0673981191222571,0.167711598746081,0.765
551,"Bergamini 1999","Italy",1994,21,30,77,298,372,375,747,5187,49.8,0.103078982597055,0.398929049531459,0.498
551,"Bergamini 1999","Italy",1994,31,40,128,453,129,581,710,5187,18.2,0.180281690140845,0.638028169014085,0.182
551,"Bergamini 1999","Italy",1994,41,50,201,416,101,617,718,5187,14,0.279944289693593,0.579387186629526,0.14
551,"Bergamini 1999","Italy",1994,51,60,214,315,88,529,617,5187,14.3,0.346839546191248,0.510534846029173,0.143
551,"Bergamini 1999","Italy",1994,61,80,405,589,220,994,1214,5187,18.1,0.333607907742998,0.485172981878089,0.181
631,"Crossley 1979","Minnesota",1976,18,39,NA,NA,NA,NA,102,225,38,NA,NA,0.38
631,"Crossley 1979","Minnesota",1976,40,59,NA,NA,NA,NA,56,225,10,NA,NA,0.1
631,"Crossley 1979","Minnesota",1976,60,80,NA,NA,NA,NA,67,225,16,NA,NA,0.16
623,"Volzke 2006","Germany",1999,20,29,NA,NA,562,101,663,4273,NA,NA,NA,0.847826
623,"Volzke 2006","Germany",1999,30,39,NA,NA,594,147,741,4273,NA,NA,NA,0.80163
623,"Volzke 2006","Germany",1999,40,49,NA,NA,430,316,746,4273,NA,NA,NA,0.576087
623,"Volzke 2006","Germany",1999,50,59,NA,NA,412,390,802,4273,NA,NA,NA,0.513587
623,"Volzke 2006","Germany",1999,60,69,NA,NA,520,234,754,4273,NA,NA,NA,0.690217
623,"Volzke 2006","Germany",1999,70,79,NA,NA,271,296,567,4273,NA,NA,NA,0.478261
465,"Chudnicka 2003","Poland",2003,0,0.16,17,158,198,175,373,1522,NA,0.0455764075067024,0.423592493297587,0.53083109919571
465,"Chudnicka 2003","Poland",2003,0.16,18,68,357,422,425,847,1522,NA,0.0802833530106257,0.421487603305785,0.498229043683589
465,"Chudnicka 2003","Poland",2003,18,80,198,70,34,268,302,1522,NA,0.655629139072848,0.231788079470199,0.112582781456954
417,"Prasad 1991","Nagpur, India",1988,15,20,1,37,21,38,59,254,NA,0.0169491525423729,0.627118644067797,0.355932203389831
417,"Prasad 1991","Nagpur, India",1988,20,21,0,20,26,20,46,254,NA,0,0.434782608695652,0.565217391304348
417,"Prasad 1991","Nagpur, India",1988,21,22,0,13,17,13,30,254,NA,0,0.433333333333333,0.566666666666667
417,"Prasad 1991","Nagpur, India",1988,22,23,0,17,19,17,36,254,NA,0,0.472222222222222,0.527777777777778
417,"Prasad 1991","Nagpur, India",1988,23,24,0,17,8,17,25,254,NA,0,0.68,0.32
417,"Prasad 1991","Nagpur, India",1988,24,25,0,8,13,8,21,254,NA,0,0.380952380952381,0.619047619047619
417,"Prasad 1991","Nagpur, India",1988,25,26,0,17,20,17,37,254,NA,0,0.459459459459459,0.540540540540541
589,"McQuillan 2002 Men","USA",1990,6,11,NA,NA,NA,NA,NA,8634,90.73482428,NA,NA,0.9073482428
589,"McQuillan 2002 Men","USA",1990,12,19,NA,NA,NA,NA,NA,8634,80.19169329,NA,NA,0.8019169329
589,"McQuillan 2002 Men","USA",1990,20,29,NA,NA,NA,NA,NA,8634,75.71884984,NA,NA,0.7571884984
589,"McQuillan 2002 Men","USA",1990,30,39,NA,NA,NA,NA,NA,8634,70.92651757,NA,NA,0.7092651757
589,"McQuillan 2002 Men","USA",1990,40,49,NA,NA,NA,NA,NA,8634,56.86900958,NA,NA,0.5686900958
589,"McQuillan 2002 Men","USA",1990,50,59,NA,NA,NA,NA,NA,8634,44.08945687,NA,NA,0.4408945687
589,"McQuillan 2002 Men","USA",1990,60,69,NA,NA,NA,NA,NA,8634,30.03194888,NA,NA,0.3003194888
589,"McQuillan 2002 Men","USA",1990,70,80,NA,NA,NA,NA,NA,8634,34.82428115,NA,NA,0.3482428115
589,"McQuillan 2002 Women","USA",1990,6,11,NA,NA,NA,NA,NA,9411,90.73482428,NA,NA,0.9073482428
589,"McQuillan 2002 Women","USA",1990,12,19,NA,NA,NA,NA,NA,9411,76.67731629,NA,NA,0.7667731629
589,"McQuillan 2002 Women","USA",1990,20,29,NA,NA,NA,NA,NA,9411,73.48242812,NA,NA,0.7348242812
589,"McQuillan 2002 Women","USA",1990,30,39,NA,NA,NA,NA,NA,9411,64.85623003,NA,NA,0.6485623003
589,"McQuillan 2002 Women","USA",1990,40,49,NA,NA,NA,NA,NA,9411,45.36741214,NA,NA,0.4536741214
589,"McQuillan 2002 Women","USA",1990,50,59,NA,NA,NA,NA,NA,9411,31.94888179,NA,NA,0.3194888179
589,"McQuillan 2002 Women","USA",1990,60,69,NA,NA,NA,NA,NA,9411,28.11501597,NA,NA,0.2811501597
589,"McQuillan 2002 Women","USA",1990,70,80,NA,NA,NA,NA,NA,9411,26.51757188,NA,NA,0.2651757188
595,"Strassburg 1982","Los Angeles",1977,11,12,NA,NA,361,NA,22,378,NA,NA,0.955,0.164090909090909
595,"Strassburg 1982","Los Angeles",1977,13,14,NA,NA,338,NA,104,378,NA,NA,0.894,0.0325
595,"Strassburg 1982","Los Angeles",1977,15,16,NA,NA,353,NA,149,378,NA,NA,0.933,0.0236912751677852
595,"Strassburg 1982","Los Angeles",1977,17,18,NA,NA,359,NA,103,378,NA,NA,0.951,0.0348543689320388
596,"Stark 1999","Blood Donors, East Berlin",1989,18,29,NA,NA,NA,NA,NA,2179,NA,NA,0.86,NA
596,"Stark 1999","Blood Donors, East Berlin",1989,30,39,NA,NA,NA,NA,NA,2179,NA,NA,0.74,NA
596,"Stark 1999","Blood Donors, East Berlin",1989,40,49,NA,NA,NA,NA,NA,2179,NA,NA,0.44,NA
596,"Stark 1999","Blood Donors, East Berlin",1989,50,70,NA,NA,NA,NA,NA,2179,NA,NA,0.45,NA
596,"Stark 1999","Blood Donors, West Berlin",1989,18,29,NA,NA,NA,NA,NA,2179,NA,NA,0.68,NA
596,"Stark 1999","Blood Donors, West Berlin",1989,30,39,NA,NA,NA,NA,NA,2179,NA,NA,0.53,NA
596,"Stark 1999","Blood Donors, West Berlin",1989,40,49,NA,NA,NA,NA,NA,2179,NA,NA,0.47,NA
596,"Stark 1999","Blood Donors, West Berlin",1989,50,70,NA,NA,NA,NA,NA,2179,NA,NA,0.47,NA
601,"Marlovits 2001","Austria",1996,18,24,17,41,96,NA,154,558,NA,0.11038961038961,0.266233766233766,0.623376623376623
601,"Marlovits 2001","Austria",1996,25,29,26,18,74,NA,118,558,NA,0.220338983050847,0.152542372881356,0.627118644067797
601,"Marlovits 2001","Austria",1996,30,39,47,41,61,NA,149,558,NA,0.315436241610738,0.275167785234899,0.409395973154362
601,"Marlovits 2001","Austria",1996,40,49,37,24,19,NA,80,558,NA,0.4625,0.3,0.2375
601,"Marlovits 2001","Austria",1996,50,70,24,24,9,NA,57,558,NA,0.421052631578947,0.421052631578947,0.157894736842105
475,"Cohen 1994","Israel",1985,18,19,5,89,169,NA,263,532,NA,0.0190114068441065,0.338403041825095,0.642585551330799
